Card,Flaw Name,Flaw Text,CARD MEANING
A🍷,Mental Block,"Part of the cape's mind has been blocked off by the shard, or use of the power 'blanks out' a section of their mental state. Repressed emotions, lack of self-control, memory loss, an inability to recognise faces. Blocked sections may return if the cape takes time to let their power cool down, or this change is permanent and irreversible. ","Upright: Love, compassion, creativity, overwhelming emotion

Reversed: Blocked or repressed emotions"
2🍷,Combative Shard,"Shard's relationship to the cape is out of tune.  Manifests as a lack of awareness on shard's part as to what constitutes combat or confrontation - power may activate or trigger in day-to-day situations, or, conversely, may be inaccurate or unwieldy at the opening of a serious confrontation.","Upright: Unified love, partnership, attraction, relationships

Reversed: Break-up, imbalance in a relationship, lack of harmony"
3🍷,Interference,"Something latched on to the power when the cape first received it, and the result is a net negative. Some sort of parasite, a drain on their shard's resources, et cetera. The cape's power suffers as a result, with elements of the power clashing with each other, a resistive force generated against their power as part of use, or something else fitting the type of interference.","Upright: Celebration, friendship, creativity, community

Reversed: An affair, “three’s a crowd”, stifled creativity"
4🍷,Always On,"The power's flame is always burning, running at a low but noticeable level. Rest and recuperation are less effective, the character is constantly tired, the character has tics or idiosyncrasies that must be met for them to be comfortable, or the power has a tell that makes keeping a secret identity hard or impossible.","Upright: Meditation, contemplation, apathy, re-evaluation

Reversed: Boredom, missed opportunity, being aloof"
5🍷,Haunting Memories,"Use of powers causes bad memories to drift to the surface. Hallucinations about the trigger, bad memories stored in the shard, et cetera. Duration, scale, and degree of accumulation is balanced so that character has to weigh cost vs. merit of using power.","Upright: Loss, regret, disappointment, despair, bereavement

Reversed: Moving on, acceptance, forgiveness"
6🍷,Shot in the Dark,"The parahuman is ignorant of the consequences of their own power, or the power occludes a major sense. Manton limits that interfere and inconvenience, sensory overloads from using their power, or otherwise.","Upright: Reunion, nostalgia, childhood memories, innocence

Reversed: Stuck in the past, naivety, unrealistic"
7🍷,Temptation,"The power latched on to a symbol, an idea, something in the cape's mind and uses that to lure the cape away from their goals. Perhaps use of the power results in hallucinations, or the cape has constant low-level nightmares, or the power generates tempting 'easy ways out'. Whatever the power uses, this creates a consistent internal conflict between what the character wants and what is easy.","Upright: Fantasy, illusion, wishful thinking, choices, imagination

Reversed: Temptation, illusion, diversionary tactics"
8🍷,Tearing Reality,"All powers tap into other realities for energy, and the seal between realities here is imperfect. Frequent, unhelpful tears or rips that exacerbate collateral damage while being drawn on come with physical powers. Mental powers involve feedback, electronic malfunctions, headaches for those around the cape, or more. Cape life in general is more hazardous or complicated by the power.","Upright: Escapism, disappointment, abandonment, withdrawal

Reversed: Hopelessness, aimless drifting, walking away"
9🍷,Totem,"The character requires an object to use their power; this is typically something breakable or inconvenient that is used to channel the ability. Can be related to the trigger. Without the object, power suffers a major penalty.","Upright: Wishes fulfilled, comfort, happiness.

Reversed: Greed, dissatisfaction, materialism."
10🍷,Uncoordinated Power,"The cape's power has multiple aspects, but use of one locks out or diminishes the other. May apply to multiple minor powers or multiple uses of the same power. Varying what they use may let the character delay the diminishing effect, but regular use of one option will 'tunnel vision' in. Lowered accuracy, reduced oomph, a chance of misfires, et cetera.","Upright: Harmony, marriage, happiness, alignment

Reversed: Misalignment, broken home."
