Card,Perk Name,Perk Text,CARD MEANING
A🍷,Opening Hand,"Power is more versatile, with more options at outset of encounter. A Blaster could have a half-dozen elements to select when combat begins, for example. Once an option is selected, it may be difficult to switch to others.","Upright: Love, compassion, creativity, overwhelming emotion

Reversed: Blocked or repressed emotions"
2🍷,Sweet Moves,"Power has a flourish to it, style. It lends itself to flashy effects and fanciful techniques. When fighting you may find that you may work with your power for incredible stunts or crazy, but difficult to pull off, maneuvers.","Upright: Unified love, partnership, attraction, relationships

Reversed: Break-up, imbalance in a relationship, lack of harmony"
3🍷,Shard Magnet,"Possess a kind of draw for shards. The character may have an easier time interacting with other capes, gaining bonuses against parahumans. The character's power may also gain longer-term benefits from repeated interactions with the same cape, based on the typing and themes of the other parahuman.","Upright: Celebration, friendship, creativity, community

Reversed: An affair, “three’s a crowd”, stifled creativity"
4🍷,Eye,"The power offers a thinker benefit. Clairvoyance tied to the power's effect, a lingering awareness of struck targets, a minor boost to awareness of foes in combat, or a boost to a skill related to the ability. Whatever the case, it's a minor augmentation, but it's low effort and low cost to utilize.","Upright: Meditation, contemplation, apathy, re-evaluation

Reversed: Boredom, missed opportunity, being aloof"
5🍷,Guardian Angel,Survivor mechanism in power kicks in when on the brink of unconsciousness or loss. Typically a defensive boost that provides a resurgence in the fight. Can kick in with some regularity.,"Upright: Loss, regret, disappointment, despair, bereavement

Reversed: Moving on, acceptance, forgiveness"
6🍷,Exquisitio,"The parahuman has found themselves changed after the trigger, remade drastically by the influence of the shard in a beneficial manner. Physical restructuring, mental rewiring, or other appropriate changes influenced by the character's idealised self, their past, and their desires.","Upright: Reunion, nostalgia, childhood memories, innocence

Reversed: Stuck in the past, naivety, unrealistic"
7🍷,Champion,"Somewhere in the parahuman's mind, the power latched on to a cause or an idea. The power rewards the parahuman for working along these defined lines. This comes with an intrinsic ruleset that the parahuman has to follow to champion said idea, or they may lose their power's favour and thus their bonuses.","Upright: Fantasy, illusion, wishful thinking, choices, imagination

Reversed: Temptation, illusion, diversionary tactics"
8🍷,External Mind,"The cape is able to offload mental processes as part of their power, either to their shard or appropriate objects or beings in the area. This can serve as a mental and emotional defense mechanism, a way to increase the intuitiveness of the power, add reflexive elements, or ramp up the ease of doing something complex with the power.","Upright: Escapism, disappointment, abandonment, withdrawal

Reversed: Hopelessness, aimless drifting, walking away"
9🍷,We Have An Understanding (WHAU),"Over time, as the shard reacts to crises, the character gains an understanding of how the power operates on a fundamental level. The core power isn't much affected, but the character expands the same ideas and shard abilities to other executions, or develops required secondary powers in other directions. In short, versatility is steadily gained for facing down life or death situations and fulfilling conditions set by the GM.","Upright: Wishes fulfilled, comfort, happiness.

Reversed: Greed, dissatisfaction, materialism."
10🍷,Harmonic Balance,"Use of the breadth of the powers at one's disposal enhances those powers. Secondary powers kick up a notch in effectiveness as primary power is used well, and vice versa. May unlock additional capabilities as goals are met in an ongoing confrontation. A cryokinetic with a resistance to cold might start generating a cold aura, then developing a crust of ice armor on their skin, as they successfully blast enemies with their ice power.","Upright: Harmony, marriage, happiness, alignment

Reversed: Misalignment, broken home."
