Card,Flaw Name,Flaw Text,CARD MEANING
A🍷,Fresh Scars,"The character is recovering from recent trauma, on edge, and the slightest knock can throw them into a bad place. Hitting rock bottom is far worse and/or far easier for this character, and in severe cases they may be a hair-trigger away from snapping.","Upright: Love, compassion, creativity, overwhelming emotion

Reversed: Blocked or repressed emotions"
2🍷,Broke Hearts,"Jilted ex-partner (business, family, romantic) has it in for the character, sabotaging or harassing them on a real-life level.","Upright: Unified love, partnership, attraction, relationships

Reversed: Break-up, imbalance in a relationship, lack of harmony"
3🍷,Oathbreaker,"The character is bad at keeping promises, notoriously so. Perhaps they're innately disloyal, the circumstances are weighted against them, or otherwise as befits the character. In any case, the character has a tendency or is forced to break promises, betray their group, sleep with the foe, so on so forth.","Upright: Celebration, friendship, creativity, community

Reversed: An affair, “three’s a crowd”, stifled creativity"
4🍷,Emotionally Unstable,"Veers wildly from one extreme to another, either because of emotional problems or an addiction. Mania/depression, obsessive love/hate, et cetera. Effort may be required to hide the affliction if one doesn't want their reputation to suffer with those close to them.","Upright: Meditation, contemplation, apathy, re-evaluation

Reversed: Boredom, missed opportunity, being aloof"
5🍷,Bereavement,"Character is trapped in the past, haunted by regret or loss, and they can't move on. Can be a code or pattern where the character acts in specific and less beneficial ways when dealing with specific people, or the character has a side mission that may conflict with the main one, related to making amends for something or helping someone else.","Upright: Loss, regret, disappointment, despair, bereavement

Reversed: Moving on, acceptance, forgiveness"
6🍷,Impossible Goals,"Shoots for the stars and misses. A single impossible goal, repeated attempts to reach higher than realistic, delusions of grandeur, or an addiction for that one-in-a-million shot. Success may spur them on their self-destructive path, while failure brings recklessness and other consequences to the point where only the similarly mad would want to stand by them.","Upright: Reunion, nostalgia, childhood memories, innocence

Reversed: Stuck in the past, naivety, unrealistic"
7🍷,Slimy,"The character comes across as slippery, and not in a good way.  Appearance, speech patterns, rumours about their past, or they are the victim of an enemy's undermining. They don't get the benefit of a doubt and convincing others when it counts can be an uphill battle.","Upright: Fantasy, illusion, wishful thinking, choices, imagination

Reversed: Temptation, illusion, diversionary tactics"
8🍷,Frail,"The character is physically disabled. Either an arm or leg irrevocably twisted, a lung or heart condition inhibiting strenuous activity, or another physical disability of similar consequence as befits the character's background.","Upright: Escapism, disappointment, abandonment, withdrawal

Reversed: Hopelessness, aimless drifting, walking away"
9🍷,Greed,"The character is a materialist in the worst way. They're used to it or it's their means of filling a hole in their heart, the character is compelled to continually have *more*. They might be despondent if they can't upgrade their assets on the regular, fritter away income they shouldn't or money that isn't theirs, or be that much more inclined to betray their team for money. Money spent in this way is typically spent on luxuries or appearances.","Upright: Wishes fulfilled, comfort, happiness.

Reversed: Greed, dissatisfaction, materialism."
10🍷,Family Drama,"The character's family is a problem. They're troublemakers and the character gets involved by association, they're rich and powerful and interfere in the character's doings, or they're doing battle on the same arenas the character is and they want very different things.","Upright: Harmony, marriage, happiness, alignment

Reversed: Misalignment, broken home."
