Card,Perk Name,Perk Text,CARD MEANING
A🍷,Natural Flair,"The character has an inherent sense of style, whether it is in their gear or their own skill or even in a way they use their power. They could inherently make better-looking stuff, be able to tailor their attitude and actions to be more charming, or something else as befits the character.","Upright: Love, compassion, creativity, overwhelming emotion

Reversed: Blocked or repressed emotions"
2🍷,The Watson,"Maintains close romantic or familial ties to unpowered individual; individual supports one's strengths from the background, whether by offering skills or keeping the rest of the character's life running smoothly.","Upright: Unified love, partnership, attraction, relationships

Reversed: Break-up, imbalance in a relationship, lack of harmony"
3🍷,Contact Network,"Belongs to a moderate-sized group that offers resources or contacts, or such a group naturally and gradually forms with character at the center. The cape can utilise their contacts to gain information about happenings within the city, acquire assets such as weapons, or otherwise.","Upright: Celebration, friendship, creativity, community

Reversed: An affair, “three’s a crowd”, stifled creativity"
4🍷,Gambit,"A great opportunity faces the character, and they simply need to take advantage of that. Taking advantage of this opportunity may be risky, but it comes with commensurate benefits. The nature of this opportunity is dependent on the character's history and motives.","Upright: Meditation, contemplation, apathy, re-evaluation

Reversed: Boredom, missed opportunity, being aloof"
5🍷,Following Footsteps,"A mentor, patron, or someone close to the character is now gone, but they left the door open, or a resemblance to someone more powerful garnered opportunity. They could start with or gain assets, mooks, a bonus to reputation gains, or a constant stream of minor benefits. ","Upright: Loss, regret, disappointment, despair, bereavement

Reversed: Moving on, acceptance, forgiveness"
6🍷,Unfailing Optimist,"The character has had good days, whether because they were raised well or they had time after their trigger event to get their feet and meet good people. In a rough spot, they can tap into this optimism to get a small boost - a minor ally, a small windfall, something fitting that particular character.","Upright: Reunion, nostalgia, childhood memories, innocence

Reversed: Stuck in the past, naivety, unrealistic"
7🍷,Disguise,"The character has access to resources that allow them to pretend to be someone else effectively. This can be high-quality fake identification, a body double, a particular set of skills, et cetera. Using this resource can cost the character, or it may fall apart if used too often.","Upright: Fantasy, illusion, wishful thinking, choices, imagination

Reversed: Temptation, illusion, diversionary tactics"
8🍷,Asketic,"The character is especially disciplined in managing their approach to life. This can manifest as bonuses to keeping their civilian and cape identities apart, increased ability to train their skill proficiencies, or other benefits as befits the character and the way they manage their approach to life.","Upright: Escapism, disappointment, abandonment, withdrawal

Reversed: Hopelessness, aimless drifting, walking away"
9🍷,Touchstone,"Something holds the character back in a positive way, and woe betide whatever disrupts that. This 'touchstone' keeps the character grounded, stopping them from going overboard, making sure they remember essential parts of their humanity, et cetera. When lost, the character gains a benefit strictly to recoup or take revenge.","Upright: Wishes fulfilled, comfort, happiness.

Reversed: Greed, dissatisfaction, materialism."
10🍷,Crusade,"This character stands for something - not necessarily something good or right, but something. They gain an edge when dealing with those that go against them in that department, generally a level of inhuman determination. Success has a Fisher King effect; the character is a symbol to an extent, causing change, drawing followers, et cetera. Causes include something as abstract as a tone (fear amongst villains), an ideology (religion, nihilism, socialism) or concept (war, nature).","Upright: Harmony, marriage, happiness, alignment

Reversed: Misalignment, broken home."
P🍷,Contact,"This character has their thumb on the pulse of some pipeline of information or another.  A villain might have a family member that works for the PRT office, a hero might have a family member that works as a career henchman.  Save for the most secret information, the character knows what's up.  If they already do know most of what's going on, the source might provide details on surprise attacks, ambushes, or general activities of the other side.","Upright: A messenger, creative beginnings.

Reversed: Emotional immaturity, creative block."
S🍷,Attractive,"The character is exceedingly good-looking or very stylish, benefiting them across the board. In social situations, they fare better, being either naturally charming or having a grasp of skills that enhance their ability to leave positive impressions.","Upright: Romance, charm, knight in shining armor, imagination.

Reversed: Unrealistic, jealousy, moodiness."
Q🍷,Empathetic,"The character, either through study or natural skill, has their finger on other's emotional pulse. They can assess others with greater skill, even learning their life flaw or flaws, gain an understanding of another's attitudes towards the other people in the area, or something else as befits the character. ","Upright: Emotional security, calm, intuitive, compassionate.

Reversed: Emotional insecurity, co-dependency."
